id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2503.05243v4,Nonstabilizerness of a Boundary Time Crystal,"['Gianluca Passarelli', 'Angelo Russomanno', 'Procolo Lucignano']","Boundary time crystals exhibit measurement-induced phase transitions in their steady-state entanglement, with critical behavior that depends on the particular unraveling of the Lindblad dynamics. In this work, we investigate another key measure of quantum complexity -- nonstabilizerness (or ``magic'') -- and show that it follows a markedly different pattern. Importantly, in contrast to entanglement, for large system sizes, nonstabilizerness remains invariant under different unraveling schemes -- a property we attribute to the inherent permutational symmetry of the model. Although the steady-state stabilizer entropy does not display a genuine phase transition, it exhibits a singular derivative (a cusp) at the mean-field critical point. Furthermore, we demonstrate that finite-size simulations of the average Lindblad evolution fail to capture the asymptotic behavior of nonstabilizerness in the time-crystal phase, while quantum trajectory unravelings correctly reveal its extensive scaling with system size. These findings offer insights into how different quantum resources manifest in open systems.",['quant-ph'],2025-03-07T08:54:53+00:00,https://arxiv.org/pdf/2503.05243v4,arxiv://2503.05243v4,1,5
2205.07992v1,Enhanced entanglement negativity in boundary driven monitored fermionic chains,"['Xhek Turkeshi', 'Lorenzo Piroli', 'Marco Schirò']","We investigate entanglement dynamics in continuously monitored open quantum systems featuring current-carrying non-equilibrium states. We focus on a prototypical one-dimensional model of boundary-driven non-interacting fermions with monitoring of the local density, whose average Lindblad dynamics features a well-studied ballistic to diffusive crossover in transport. Here we analyze the dynamics of the fermionic negativity, mutual information, and purity along different quantum trajectories. We show that monitoring this boundary-driven system enhances its entanglement negativity at long times, which otherwise decays to zero in absence of measurements. This result is in contrast with the case of unitary evolution where monitoring suppresses entanglement production. For small values of $γ$, the stationary-state negativity shows a logarithmic scaling with system size, transitioning to an area-law scaling as $γ$ is increased beyond a critical value. Similar critical behavior is found in the mutual information, while the late-time purity shows no apparent signature of a transition, being $O(1)$ for all values of $γ$. Our work unveils the double role of weak monitoring in current-driven open quantum systems, simultaneously damping transport and enhancing entanglement.","['cond-mat.stat-mech', 'cond-mat.str-el', 'quant-ph']",2022-05-16T21:16:53+00:00,https://arxiv.org/pdf/2205.07992v1,arxiv://2205.07992v1,2,5
2111.11391v2,Optimality of Lindblad unfolding in measurement phase transitions,['Michael Kolodrubetz'],"Entanglement phase transitions in hybrid quantum circuits describe individual quantum trajectories rather than the measurement-averaged ensemble, despite the fact that results of measurements are not conventionally used for feedback. Here, we numerically demonstrate that a class of generalized measurements with identical measurement-averaged dynamics give different phases and phase transitions. We show that measurement-averaged destruction of Bell state entanglement is a useful proxy for determining which hybrid circuit yields the lowest-entanglement dynamics. We use this to argue that no unfolding of our model can avoid a volume law phase, which has implications for simulation of open quantum systems.","['quant-ph', 'cond-mat.dis-nn', 'cond-mat.stat-mech']",2021-11-22T18:06:31+00:00,https://arxiv.org/pdf/2111.11391v2,arxiv://2111.11391v2,3,5
2106.10092v1,Engineered dissipation induced entanglement transition in quantum spin chains: from logarithmic growth to area law,"['Thomas Botzung', 'Sebastian Diehl', 'Markus Müller']","Recent theoretical work has shown that the competition between coherent unitary dynamics and stochastic measurements, performed by the environment, along wavefunction trajectories can give rise to transitions in the entanglement scaling. In this work, complementary to these previous studies, we analyze a situation where the role of Hamiltonian and dissipative dynamics is reversed. We consider an engineered dissipation, which stabilizes an entangled phase of a quantum spin$-1/2$ chain, while competing single-particle or interacting Hamiltonian dynamics induce a disentangled phase. Focusing on the single-particle unitary dynamics, we find that the system undergoes an entanglement transition from a logarithmic growth to an area law when the competition ratio between the unitary evolution and the non-unitary dynamics increases. We evidence that the transition manifests itself in state-dependent observables at a finite competition ratio for Hamiltonian and measurement dynamics. On the other hand, it is absent in trajectory-averaged steady-state dynamics, governed by a Lindblad master equation: although purely dissipative dynamics stabilizes an entangled state, for any non-vanishing Hamiltonian contribution the system ends up irremediably in a disordered phase. In addition, a single trajectory analysis reveals that the distribution of the entanglement entropy constitutes an efficient indicator of the transition. Complementarily, we explore the competition of the dissipation with coherent dynamics generated by an interacting Hamiltonian, and demonstrate that the entanglement transition also occurs in this second model. Our results suggest that this type of transition takes place for a broader class of Hamiltonians, underlining its robustness in monitored open quantum many-body systems.","['quant-ph', 'cond-mat.other']",2021-06-18T12:41:01+00:00,https://arxiv.org/pdf/2106.10092v1,arxiv://2106.10092v1,4,5
2004.11957v3,Measurement-induced quantum criticality under continuous monitoring,"['Yohei Fuji', 'Yuto Ashida']","We investigate entanglement phase transitions from volume-law to area-law entanglement in a quantum many-body state under continuous position measurement on the basis of the quantum trajectory approach. We find the signatures of the transitions as peak structures in the mutual information as a function of measurement strength, as previously reported for random unitary circuits with projective measurements. At the transition points, the entanglement entropy scales logarithmically and various physical quantities scale algebraically, implying emergent conformal criticality, for both integrable and nonintegrable one-dimensional interacting Hamiltonians; however, such transitions have been argued to be absent in noninteracting regimes in some previous studies. With the aid of $U(1)$ symmetry in our model, the measurement-induced criticality exhibits a spectral signature resembling a Tomonaga-Luttinger liquid theory from symmetry-resolved entanglement. These intriguing critical phenomena are unique to steady-state regimes of the conditional dynamics at the single-trajectory level, and are absent in the unconditional dynamics obeying the Lindblad master equation, in which the system ends up with the featureless, infinite-temperature mixed state. We also propose a possible experimental setup to test the predicted entanglement transition based on the subsystem particle-number fluctuations. This quantity should readily be measured by the current techniques of quantum gas microscopy and is in practice easier to obtain than the entanglement entropy itself.","['cond-mat.stat-mech', 'cond-mat.dis-nn', 'cond-mat.quant-gas', 'cond-mat.str-el', 'quant-ph']",2020-04-24T19:35:28+00:00,https://arxiv.org/pdf/2004.11957v3,arxiv://2004.11957v3,5,5
