id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2509.10229v1,Bohmian Chaos and Entanglement in a Two-Qubit System,"['Athanasios C. Tzemos', 'George Contopoulos', 'Foivos Zanias']","We study in detail the critical points of Bohmian flow, both in the inertial frame of reference (Y-points) and in the frames centered at the moving nodal points of the guiding wavefunction (X-points), and analyze their role in the onset of chaos in a system of two entangled qubits. We find the distances between these critical points and a moving Bohmian particle at varying levels of entanglement, with particular emphasis on the times at which chaos arises. Then, we find why some trajectories are ordered, without any chaos. Finally, we examine numerically how the Lyapunov Characteristic Number (LCN ) depends on the degree of quantum entanglement. Our results indicate that increasing entanglement reduces the convergence time of the finite-time LCN of the chaotic trajectories toward its final positive value.","['quant-ph', 'nlin.CD']",2025-09-12T13:20:21+00:00,https://arxiv.org/pdf/2509.10229v1,arxiv://2509.10229v1,1,3
2306.10104v2,Young's experiment with entangled bipartite systems: The role of underlying quantum velocity fields,['A. S. Sanz'],"We consider the concept of velocity fields, taken from Bohmian mechanics, to investigate the dynamical effects of entanglement in bipartite realizations of Young's two-slit experiment. In particular, by comparing the behavior exhibited by factorizable two-slit states (cat-type state analogs in the position representation) with the dynamics exhibited by a continuous-variable Bell-type maximally entangled state, we find that, while the velocity fields associated with each particle in the separable scenario are well-defined and act separately on each subspace, in the entangled case there is a strong deformation in the total space that prevents this behavior. Consequently, the trajectories for each subsystem are not constrained any longer to remain confined within the corresponding subspace; rather, they exhibit seemingly wandering behavior across the total space. In this way, within the subspace associated with each particle (that is, when we trace over the other subsystem), not only interference features are washed out, but also the so-called Bohmian non-crossing rule\linebreak (i.e., particle trajectories are allowed to get across the same point at the same time).","['quant-ph', 'physics.optics']",2023-06-16T18:00:01+00:00,https://arxiv.org/pdf/2306.10104v2,arxiv://2306.10104v2,2,3
1512.09084v2,Entropic Dynamics: The Schroedinger equation and its Bohmian limit,"['Daniel Bartolomeo', 'Ariel Caticha']","In the Entropic Dynamics (ED) derivation of the Schroedinger equation the physical input is introduced through constraints that are implemented using Lagrange multipliers. There is one constraint involving a ""drift"" potential that correlates the motions of different particles and is ultimately responsible for entanglement. The purpose of this work is to deepen our understanding of the corresponding multiplier. Its main effect is to control the strength of the drift relative to the fluctuations. We show that ED exhibits a symmetry: models with different values of the multiplier can lead to the same Schroedinger equation; different ""microscopic"" or sub-quantum models lead to the same ""macroscopic"" or quantum behavior. As the multiplier tends to infinity the drift prevails over the fluctuations and the particles tend to move along the smooth probability flow lines. Thus ED includes the causal or Bohmian form of quantum mechanics as a special limiting case.",['quant-ph'],2015-12-30T19:54:36+00:00,https://arxiv.org/pdf/1512.09084v2,arxiv://1512.09084v2,3,3
